,model,tp,fp,tn,fn,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fold
13,Piping,258,24,3988,42,6.94177457943899,-1.9706198910081743,0.9148936170212766,0.86,0.9940179461615155,0.8865979381443299,0.9270089730807578,0.6738079390016646,1.179163893252913,-3.0321357255074908,0.5,3
14,Catch22,286,3,4009,14,4.870231672829574,-2.227820163487739,0.9896193771626297,0.9533333333333334,0.9992522432701895,0.9711375212224108,0.9762927883017614,0.08422599237520807,0.39305463108430433,-0.8703352545438168,0.5,3
15,ExtraTrees,172,7,3939,128,0.8857512482151707,-1.3053360768175584,0.9608938547486033,0.5733333333333334,0.998226051697922,0.7181628392484343,0.7857796925156277,0.19831229937602451,3.62628204573302,-7.450876390842064,0.5,4
16,MiniRocket,300,12,3934,0,1.546211419447479,-2.7114471879286692,0.9615384615384616,1.0,0.9969589457678661,0.9803921568627451,0.998479472883933,0.3399639417874706,0.0,-0.3399639417874706,0.5,4
17,QUANT,277,1,3945,23,7.242379334944436,-2.158456790123457,0.9964028776978417,0.9233333333333333,0.9997465788139889,0.9584775086505191,0.961539956073661,0.028330328482289217,0.6515975550926519,-1.3315254386675932,0.5,4
18,Piping,279,12,3934,21,7.261646008260914,-2.2010288065843624,0.9587628865979382,0.93,0.9969589457678661,0.9441624365482234,0.9634794728839331,0.3399639417874706,0.5949368981280736,-1.5298377380436177,0.5,4
19,Catch22,285,10,3936,15,4.772952479365759,-2.31480109739369,0.9661016949152542,0.95,0.9974657881398885,0.957983193277311,0.9737328940699442,0.2833032848228922,0.42495492723433825,-1.1332131392915687,0.5,4
20,ExtraTrees,219,11,4487,231,0.9282024554252807,-1.3431655844155845,0.9521739130434783,0.4866666666666667,0.9975544686527346,0.6441176470588236,0.7421105676597006,0.2519124833131835,5.290162149576854,-10.832236782466891,0.5,5
21,MiniRocket,428,4,4494,22,1.589515488913603,-3.0141883116883115,0.9907407407407407,0.9511111111111111,0.9991107158737217,0.9705215419501134,0.9751109134924164,0.09160453938661219,0.503824966626367,-1.0992544726393463,0.5,5
22,QUANT,375,3,4495,75,7.59083836640996,-2.325746753246753,0.9920634920634921,0.8333333333333334,0.9993330369052913,0.9057971014492754,0.9163331851193124,0.06870340453995914,1.7175851134989784,-3.5038736315379158,0.5,5
23,Piping,377,24,4474,73,7.21060231867301,-2.3467099567099563,0.940149625935162,0.8377777777777777,0.9946642952423299,0.8860164512338425,0.9162210365100538,0.5496272363196731,1.6717828438056723,-3.893192923931018,0.5,5
24,Catch22,391,8,4490,59,5.057609542907261,-2.5252597402597403,0.9799498746867168,0.8688888888888889,0.9982214317474433,0.9210836277974087,0.9335551603181661,0.18320907877322437,1.3511669559525297,-2.885542990678284,0.5,5
