,model,tp,fp,tn,fn,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fold,window_size
19,Catch22,21,3,36873,10,0.2587923287826958,-0.6751612903225807,0.875,0.6774193548387096,0.9999186462739994,0.7636363636363637,0.8386690005563545,0.029188944633166587,0.09729648211055529,-0.22378190885427715,0.5,4,3
20,ExtraTrees,29,7,47974,17,0.0388057767051674,-0.6666666666666666,0.8055555555555556,0.6304347826086957,0.9998541089181134,0.7073170731707317,0.8151444457634045,0.05232999293545095,0.1270871257003809,-0.3065042443362127,0.5,5,3
21,MiniRocket,32,9,47972,14,0.10784428508328195,-1.225952380952381,0.7804878048780488,0.6956521739130435,0.9998124257518601,0.735632183908046,0.8477322998324518,0.06728141948843694,0.1046599858709019,-0.27660139123024075,0.5,5,3
22,QUANT,35,6,47975,11,0.3341298522432226,-0.8621428571428572,0.8536585365853658,0.7608695652173914,0.9998749505012401,0.8045977011494253,0.8803722578593157,0.044854279658957955,0.08223284604142292,-0.2093199717418038,0.5,5,3
23,Piping,34,14,47967,12,8.86357357002718,-0.714047619047619,0.7083333333333334,0.7391304347826086,0.9997082178362269,0.723404255319149,0.8694193263094178,0.1046599858709019,0.08970855931791591,-0.28407710450673374,0.5,5,3
24,Catch22,28,18,47963,18,0.4612587173513179,-0.7376190476190476,0.6086956521739131,0.6086956521739131,0.9996248515037203,0.6086956521739131,0.8041602518388167,0.13456283897687388,0.13456283897687388,-0.40368851693062163,0.5,5,3
25,ExtraTrees,15,2,21964,4,0.041962765470755746,-0.7894736842105263,0.8823529411764706,0.7894736842105263,0.9999089501957571,0.8333333333333334,0.8946913172031417,0.03260841505439944,0.06521683010879888,-0.1630420752719972,0.5,1,5
26,MiniRocket,15,3,21963,4,0.14925569764721325,-1.1578947368421053,0.8333333333333334,0.7894736842105263,0.9998634252936356,0.8108108108108109,0.894668554752081,0.04891262258159916,0.06521683010879888,-0.17934628279919693,0.5,1,5
27,QUANT,16,4,21962,3,0.47010079431355467,-0.9473684210526315,0.8,0.8421052631578947,0.9998179003915142,0.8205128205128205,0.9209615817747044,0.06521683010879888,0.04891262258159916,-0.1630420752719972,0.5,1,5
28,Piping,17,6,21960,2,8.07863210810281,-2.4210526315789473,0.7391304347826086,0.8947368421052632,0.9997268505872713,0.8095238095238095,0.9472318463462672,0.09782524516319832,0.03260841505439944,-0.1630420752719972,0.5,1,5
29,Catch22,14,5,21961,5,0.6437828675170479,-2.736842105263158,0.7368421052631579,0.7368421052631579,0.9997723754893927,0.7368421052631579,0.8683072403762753,0.0815210376359986,0.0815210376359986,-0.24456311290799582,0.5,1,5
30,ExtraTrees,20,2,27540,6,0.039749048569797094,-0.8333333333333334,0.9090909090909091,0.7692307692307693,0.9999273836322707,0.8333333333333334,0.88457907643152,0.026002889932294975,0.07800866979688492,-0.18202022952606484,0.5,2,5
31,MiniRocket,24,6,27536,2,0.18958670988801493,-1.343125,0.8,0.9230769230769231,0.9997821508968121,0.8571428571428571,0.9614295369868676,0.07800866979688492,0.026002889932294975,-0.13001444966147488,0.5,2,5
32,QUANT,19,1,27541,7,0.4950305769943893,-0.82375,0.95,0.7307692307692307,0.9999636918161353,0.8260869565217391,0.865366461292683,0.013001444966147488,0.09101011476303242,-0.1950216744922123,0.5,2,5
33,Piping,19,2,27540,7,12.035303444913701,-0.7508333333333334,0.9047619047619048,0.7307692307692307,0.9999273836322707,0.8085106382978723,0.8653483072007507,0.026002889932294975,0.09101011476303242,-0.2080231194583598,0.5,2,5
34,Catch22,20,8,27534,6,0.7667904248367696,-0.13479166666666664,0.7142857142857143,0.7692307692307693,0.9997095345290828,0.7407407407407407,0.8844701518799261,0.1040115597291799,0.07800866979688492,-0.26002889932294976,0.5,2,5
35,ExtraTrees,5,2,12404,9,0.06019177961514794,-0.4166666666666667,0.7142857142857143,0.35714285714285715,0.999838787683379,0.47619047619047616,0.6784908224131181,0.05769175296391381,0.25961288833761215,-0.576917529639138,0.5,3,5
36,MiniRocket,11,2,12404,3,0.23592845926481806,-2.25,0.8461538461538461,0.7857142857142857,0.999838787683379,0.8148148148148148,0.8927765366988323,0.05769175296391381,0.0865376294458707,-0.23076701185565524,0.5,3,5
37,QUANT,11,2,12404,3,0.6812050711479344,-1.8333333333333333,0.8461538461538461,0.7857142857142857,0.999838787683379,0.8148148148148148,0.8927765366988323,0.05769175296391381,0.0865376294458707,-0.23076701185565524,0.5,3,5
38,Piping,12,5,12401,2,12.857164814685923,-1.8333333333333333,0.7058823529411765,0.8571428571428571,0.9995969692084475,0.7741935483870968,0.9283699131756523,0.1442293824097845,0.05769175296391381,-0.25961288833761215,0.5,3,5
39,Catch22,11,3,12403,3,1.0071620504212637,-1.3333333333333333,0.7857142857142857,0.7857142857142857,0.9997581815250686,0.7857142857142857,0.8927362336196771,0.0865376294458707,0.0865376294458707,-0.25961288833761215,0.5,3,5
40,ExtraTrees,23,3,36811,8,0.034433057512413344,-0.7419354838709677,0.8846153846153846,0.7419354838709677,0.9999185092627805,0.8070175438596491,0.8709269965668741,0.029188944633166587,0.07783718568844424,-0.18486331601005504,0.5,4,5
41,MiniRocket,23,3,36811,8,0.12512734729806682,-0.9332258064516129,0.8846153846153846,0.7419354838709677,0.9999185092627805,0.8070175438596491,0.8709269965668741,0.029188944633166587,0.07783718568844424,-0.18486331601005504,0.5,4,5
42,QUANT,26,3,36811,5,0.3752968838409166,-0.9009677419354839,0.896551724137931,0.8387096774193549,0.9999185092627805,0.8666666666666667,0.9193140933410677,0.029188944633166587,0.048648241055277645,-0.12648542674372187,0.5,4,5
43,Piping,21,7,36807,10,7.34363038621303,-0.6429032258064517,0.75,0.6774193548387096,0.9998098549464878,0.711864406779661,0.8386146048925986,0.06810753747738871,0.09729648211055529,-0.2627005016984993,0.5,4,5
44,Catch22,24,4,36810,7,0.4823684507645645,-0.7074193548387097,0.8571428571428571,0.7741935483870968,0.9998913456837073,0.8135593220338984,0.887042447035402,0.03891859284422212,0.06810753747738871,-0.17513366779899953,0.5,4,5
45,ExtraTrees,29,8,47889,17,0.04078743407175562,-0.6666666666666666,0.7837837837837838,0.6304347826086957,0.9998329749253607,0.6987951807228916,0.8151338787670281,0.05980570621194394,0.1270871257003809,-0.3139799576127057,0.5,5,5
46,MiniRocket,34,11,47886,12,0.19482050934814113,-1.333095238095238,0.7555555555555555,0.7391304347826086,0.9997703405223709,0.7472527472527473,0.8694503876524897,0.08223284604142292,0.08970855931791591,-0.26164996467725476,0.5,5,5
47,QUANT,36,6,47891,10,0.5131013807692215,-0.6902380952380953,0.8571428571428571,0.782608695652174,0.9998747311940205,0.8181818181818182,0.8912417134230972,0.044854279658957955,0.07475713276492993,-0.19436854518881783,0.5,5,5
48,Piping,33,15,47882,13,12.122340570468367,-0.729047619047619,0.6875,0.717391304347826,0.9996868279850513,0.7021276595744681,0.8585390661664387,0.1121356991473949,0.09718427259440891,-0.3065042443362127,0.5,5,5
