model,tp,fp,tn,fn,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh
QUANT Untuned,17,1,24838,4,0.7489011624163089,-1.1066666666666665,0.9444444444444444,0.8095238095238095,0.9999597407303031,0.8717948717948718,0.9047417751270563,0.0143591854512733,0.0574367418050932,-0.1292326690614597,0.5
QUANT Alpha2,18,2,24837,3,0.7432434707276284,-1.773333333333333,0.9,0.8571428571428571,0.9999194814606063,0.8780487804878049,0.9285311693017317,0.0287183709025466,0.0430775563538199,-0.1148734836101864,0.2828282828282829
